title	res_count	res_room	part_of
实体资源	#39,011,882	#	#
图书	#16,134,442	#	#实体资源
中文图书	#11,905,078	#	#图书
中文_普通图书（含民国平装书）	#9,814,446	#中文图书阅览区；中文图书借阅区	#中文图书
中文_普通图书	#9,814,446	#中文图书阅览区；中文图书借阅区	#中文图书
中文普通图书	#9,814,446	#中文图书阅览区；中文图书借阅区	#中文图书
民国平装书	#9,814,446	#中文图书阅览区；中文图书借阅区	#中文图书
民国线装书	#1,722,826	#普通古籍阅览室	#中文图书
中文_普通古籍	#1,722,826	#普通古籍阅览室	#中文图书
中文普通古籍	#1,722,826	#普通古籍阅览室	#中文图书
普通古籍	#1,722,826	#普通古籍阅览室	#中文图书
中文_港澳台及海外出版的图书	#367,806	#台港澳文献阅览室	#中文图书
港澳台及海外出版的图书	#367,806	#台港澳文献阅览室	#中文图书
港澳台图书	#367,806	#台港澳文献阅览室	#中文图书
外文图书	#4,229,364	#	#图书
外文_西文图书(英文、法文、德文等)	#2,337,712	#外文文献第一阅览室；外文文献第二阅览室	#外文图书
西文图书	#2,337,712	#外文文献第一阅览室；外文文献第二阅览室	#外文图书
英文图书	#2,337,712	#外文文献第一阅览室；外文文献第二阅览室	#外文图书
法文图书	#2,337,712	#外文文献第一阅览室；外文文献第二阅览室	#外文图书
德文图书	#2,337,712	#外文文献第一阅览室；外文文献第二阅览室	#外文图书
外文_俄文图书(含其它部分斯拉夫语种)	#676,822	#外文文献第一阅览室	#外文图书
俄文图书	#676,822	#外文文献第一阅览室	#外文图书
外文_日文和东文书(日文及其它部分东方语种)	#1,214,830	#外文文献第一阅览室	#外文图书
日文书	#1,214,830	#外文文献第一阅览室	#外文图书
期刊	#15,572,320	#	#实体资源
中文期刊	#8,500,239	#中文报刊阅览区（期刊）	#期刊
外文期刊	#7,072,081	#外文文献第二阅览室	#期刊
报纸	#286,489（合订册）	#	#实体资源
中文报纸	#184,275（合订册）	#中文报刊阅览区（报纸）	#报纸
外文报纸	#102,214（合订册）	#外文文献第二阅览室	#报纸
特藏专藏	#4,805,139	#	#实体资源
善本（含古籍善本、新善本及外文善本）	#341,573	#善本特藏阅览室	#特藏专藏
中外文舆图	#183,083（册，张，幅，件）	#善本特藏阅览室	#特藏专藏
静画资料（照片、年画、工程图等）	#172,022（张，幅）	#	#特藏专藏
金石文献	#329,411（张，片）	#善本特藏阅览室	#特藏专藏
手稿书札	#110,430	#	#特藏专藏
